Crop Name,Type of Fertilizer,Time,Best Season,Best Soil,Type
Agave,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Fiber
Sisal,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Fiber
Coir,Potassium-based fertilizer,365,Kharif,Alluvial soil,Fiber
Ramie,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Fiber
Flax,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Fiber
Hemp,Potassium-based fertilizer,365,Kharif,Alluvial soil,Fiber
Kenaf,Nitrogen-based fertilizer,365,Rabi,Laterite soil,Fiber
Jute,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Fiber
Cotton,Phosphorus-based fertilizer,180,Rabi,Loamy soil,Fiber
Hemp,Potassium-based fertilizer,365,Kharif,Alluvial soil,Fiber
Kenaf,Nitrogen-based fertilizer,365,Rabi,Laterite soil,Fiber
Jute,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Fiber
Cotton,Phosphorus-based fertilizer,180,Rabi,Loamy soil,Fiber
Flaxseed,Nitrogen-based fertilizer,90,Kharif,Loamy soil,Fiber
Sunflower Seeds,Phosphorus-based fertilizer,90,Rabi,Loamy soil,Fiber
Sesame Seeds,Potassium-based fertilizer,120,Kharif,Loamy soil,Fiber
Cottonseed,Nitrogen-based fertilizer,150,Rabi,Alluvial soil,Fiber
Jute,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Fiber
Hemp,Potassium-based fertilizer,210,Rabi,Clay soil,Fiber
Kenaf,Nitrogen-based fertilizer,240,Kharif,Laterite soil,Fiber
Tobacco,Phosphorus-based fertilizer,365,Rabi,Sandy loam,Fiber
Quinoa,Potassium-based fertilizer,365,Kharif,Loamy soil,Cereal
Amaranth,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Cereal
Millet,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Cereal
Barley,Potassium-based fertilizer,365,Rabi,Alluvial soil,Cereal
Oats,Nitrogen-based fertilizer,365,Kharif,Clay loam,Cereal
Rye,Phosphorus-based fertilizer,365,Rabi,Sandy loam,Cereal
Triticale,Potassium-based fertilizer,365,Kharif,Loamy soil,Cereal
Sorghum,Nitrogen-based fertilizer,365,Rabi,Alluvial soil,Cereal
Flax,Nitrogen-based fertilizer,365,Kharif,Loamy soil,Fiber
Ramie,Phosphorus-based fertilizer,365,Rabi,Clay soil,Fiber
Abaca,Potassium-based fertilizer,365,Kharif,Peat soil,Fiber
Sisal,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Fiber
Kapok,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Fiber
Coir,Potassium-based fertilizer,365,Rabi,Clay soil,Fiber
Mulberry,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Fiber
Silk,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Fiber
Bamboo,Nitrogen-based fertilizer,365,Rabi,Alluvial soil,Fiber
Coriander,Nitrogen-based fertilizer,60,Rabi,Sandy loam,Herb
Basil,Phosphorus-based fertilizer,90,Kharif,Loamy soil,Herb
Mint,Potassium-based fertilizer,120,Rabi,Alluvial soil,Herb
Thyme,Nitrogen-based fertilizer,60,Kharif,Sandy loam,Herb
Rosemary,Phosphorus-based fertilizer,90,Rabi,Loamy soil,Herb
Saffron,Potassium-based fertilizer,120,Kharif,Alluvial soil,Spice
Cinnamon,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Spice
Nutmeg,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Spice
Cardamom,Potassium-based fertilizer,365,Rabi,Alluvial soil,Spice
Turmeric,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Spice
Ginger,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Spice
Cumin,Potassium-based fertilizer,365,Kharif,Alluvial soil,Spice
Paprika,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Spice
Vanilla,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Spice
Star anise,Potassium-based fertilizer,365,Rabi,Alluvial soil,Spice
Fenugreek,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Herb
Mustard,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Herb
Lovage,Potassium-based fertilizer,365,Kharif,Alluvial soil,Herb
Sesame,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Herb
Poppy,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Herb
Fennel,Potassium-based fertilizer,365,Rabi,Alluvial soil,Herb
Chamomile,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Herb
Dill,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Herb
Caraway,Potassium-based fertilizer,365,Kharif,Alluvial soil,Herb
Parsley,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Herb
Oregano,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Herb
Sage,Potassium-based fertilizer,365,Rabi,Alluvial soil,Herb
Tarragon,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Herb
Lemongrass,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Herb
Bay leaf,Potassium-based fertilizer,365,Kharif,Alluvial soil,Herb
Juniper,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Herb
Coriander,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Herb
Basil,Potassium-based fertilizer,365,Rabi,Alluvial soil,Herb
Mint,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Herb
Thyme,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Herb
Rosemary,Potassium-based fertilizer,365,Kharif,Alluvial soil,Herb
Saffron,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Spice
Cinnamon,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Spice
Nutmeg,Potassium-based fertilizer,365,Rabi,Alluvial soil,Spice
Cardamom,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Spice
Turmeric,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Spice
Ginger,Potassium-based fertilizer,365,Kharif,Alluvial soil,Spice
Cumin,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Spice
Paprika,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Spice
Vanilla,Potassium-based fertilizer,365,Rabi,Alluvial soil,Spice
Star anise,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Spice
Fenugreek,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Herb
Mustard,Potassium-based fertilizer,365,Kharif,Alluvial soil,Herb
Lovage,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Herb
Sesame,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Herb
Poppy,Potassium-based fertilizer,365,Rabi,Alluvial soil,Herb
Fennel,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Herb
Chamomile,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Herb
Dill,Potassium-based fertilizer,365,Kharif,Alluvial soil,Herb
Caraway,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Herb
Parsley,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Herb
Oregano,Potassium-based fertilizer,365,Rabi,Alluvial soil,Herb
Sage,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Herb
Tarragon,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Herb
Lemongrass,Potassium-based fertilizer,365,Kharif,Alluvial soil,Herb
Bay leaf,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Herb
Juniper,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Herb
Pouteria campechiana,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Fruit
Pulasan,Potassium-based fertilizer,365,Rabi,Alluvial soil,Fruit
Purple mangosteen,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Fruit
Rambai,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Fruit
Red mombin,Potassium-based fertilizer,365,Kharif,Alluvial soil,Fruit
Rose apple,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Fruit
Safou,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Fruit
Salak,Phosphorus-based fertilizer,365,Rabi,Alluvial soil,Fruit
Santol,Potassium-based fertilizer,365,Kharif,Sandy loam,Fruit
Snake fruit,Nitrogen-based fertilizer,365,Rabi,Loamy soil,Fruit
Soncoya,Phosphorus-based fertilizer,365,Kharif,Alluvial soil,Fruit
Sugar apple,Potassium-based fertilizer,365,Kharif,Sandy loam,Fruit
Surinam cherry,Nitrogen-based fertilizer,365,Rabi,Loamy soil,Fruit
Tamarind,Phosphorus-based fertilizer,365,Kharif,Alluvial soil,Fruit
Tangerine,Potassium-based fertilizer,365,Kharif,Sandy loam,Fruit
Tamarillo,Nitrogen-based fertilizer,365,Rabi,Loamy soil,Fruit
Umbu,Phosphorus-based fertilizer,365,Kharif,Alluvial soil,Fruit
Yuzu,Potassium-based fertilizer,365,Kharif,Sandy loam,Fruit
Yamamomo,Nitrogen-based fertilizer,365,Rabi,Loamy soil,Fruit
Ginkgo biloba,Phosphorus-based fertilizer,365,Kharif,Alluvial soil,Tree
Ailanthus altissima,Potassium-based fertilizer,365,Rabi,Sandy loam,Tree
American beech,Nitrogen-based fertilizer,365,Kharif,Loamy soil,Tree
Carpinus betulus,Phosphorus-based fertilizer,365,Rabi,Alluvial soil,Tree
Castanea sativa,Potassium-based fertilizer,365,Kharif,Sandy loam,Tree
Common ash,Nitrogen-based fertilizer,365,Rabi,Loamy soil,Tree
Diospyros kaki,Phosphorus-based fertilizer,365,Kharif,Alluvial soil,Tree
Eastern cottonwood,Potassium-based fertilizer,365,Kharif,Sandy loam,Tree
Eucalyptus globulus,Nitrogen-based fertilizer,365,Rabi,Loamy soil,Tree
Fagus sylvatica,Phosphorus-based fertilizer,365,Kharif,Alluvial soil,Tree
Fraxinus excelsior,Potassium-based fertilizer,365,Kharif,Sandy loam,Tree
Ginkgo biloba,Nitrogen-based fertilizer,365,Rabi,Loamy soil,Tree
Gleditsia triacanthos,Phosphorus-based fertilizer,365,Kharif,Alluvial soil,Tree
Gymnocladus dioicus,Potassium-based fertilizer,365,Kharif,Sandy loam,Tree
Juglans regia,Nitrogen-based fertilizer,365,Rabi,Loamy soil,Tree
Koelreuteria paniculata,Phosphorus-based fertilizer,365,Kharif,Alluvial soil,Tree
Larix decidua,Potassium-based fertilizer,365,Rabi,Sandy loam,Tree
Liquidambar styraciflua,Nitrogen-based fertilizer,365,Kharif,Loamy soil,Tree
Liriodendron tulipifera,Phosphorus-based fertilizer,365,Kharif,Alluvial soil,Tree
Maclura pomifera,Potassium-based fertilizer,365,Rabi,Sandy loam,Tree
Magnolia grandiflora,Nitrogen-based fertilizer,365,Rabi,Loamy soil,Tree
Morus nigra,Phosphorus-based fertilizer,365,Kharif,Alluvial soil,Tree
Nyssa sylvatica,Potassium-based fertilizer,365,Kharif,Sandy loam,Tree
Platanus occidentalis,Nitrogen-based fertilizer,365,Rabi,Loamy soil,Tree
Populus tremula,Phosphorus-based fertilizer,365,Kharif,Alluvial soil,Tree
Prunus avium,Potassium-based fertilizer,365,Rabi,Sandy loam,Tree
Pseudotsuga menziesii,Nitrogen-based fertilizer,365,Kharif,Loamy soil,Tree
Pyrus communis,Phosphorus-based fertilizer,365,Rabi,Alluvial soil,Tree
Quercus robur,Potassium-based fertilizer,365,Kharif,Sandy loam,Tree
Robinia pseudoacacia,Nitrogen-based fertilizer,365,Rabi,Loamy soil,Tree
Salix alba,Phosphorus-based fertilizer,365,Kharif,Alluvial soil,Tree
Sorbus aucuparia,Potassium-based fertilizer,365,Rabi,Sandy loam,Tree
Stewartia pseudocamellia,Nitrogen-based fertilizer,365,Kharif,Loamy soil,Tree
Tilia cordata,Phosphorus-based fertilizer,365,Kharif,Alluvial soil,Tree
Ulmus glabra,Potassium-based fertilizer,365,Kharif,Sandy loam,Tree
Zelkova serrata,Nitrogen-based fertilizer,365,Rabi,Loamy soil,Tree
Chives,Nitrogen-based fertilizer,60,Rabi,Sandy loam,Herb
Lavender,Phosphorus-based fertilizer,90,Kharif,Loamy soil,Herb
Marjoram,Potassium-based fertilizer,120,Rabi,Alluvial soil,Herb
Rocket,Nitrogen-based fertilizer,60,Kharif,Sandy loam,Herb
Wasabi,Phosphorus-based fertilizer,90,Rabi,Loamy soil,Herb
Watermelon,Potassium-based fertilizer,120,Kharif,Alluvial soil,Fruit
Cantaloupe,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Fruit
Honeydew,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Fruit
Papaya,Potassium-based fertilizer,365,Rabi,Alluvial soil,Fruit
Dragon Fruit,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Fruit
Guava,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Fruit
Passion Fruit,Potassium-based fertilizer,365,Kharif,Alluvial soil,Fruit
Kiwi,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Fruit
Mulberry,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Fruit
Persimmon,Potassium-based fertilizer,365,Rabi,Alluvial soil,Fruit
Durian,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Fruit
Lychee,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Fruit
Jackfruit,Potassium-based fertilizer,365,Kharif,Alluvial soil,Fruit
Longan,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Fruit
Pomegranate,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Fruit
Starfruit,Potassium-based fertilizer,365,Rabi,Alluvial soil,Fruit
Plantain,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Fruit
Cherimoya,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Fruit
Guava,Potassium-based fertilizer,365,Kharif,Alluvial soil,Fruit
Feijoa,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Fruit
Tamarind,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Fruit
Acerola,Potassium-based fertilizer,365,Rabi,Alluvial soil,Fruit
Kumquat,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Fruit
Quince,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Fruit
Rambutan,Potassium-based fertilizer,365,Kharif,Alluvial soil,Fruit
Salak,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Fruit
Persimmon,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Fruit
Jabuticaba,Potassium-based fertilizer,365,Rabi,Alluvial soil,Fruit
Camu Camu,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Fruit
Pawpaw,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Fruit
Breadfruit,Potassium-based fertilizer,365,Kharif,Alluvial soil,Fruit
Ackee,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Fruit
Jujube,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Fruit
Black Sapote,Potassium-based fertilizer,365,Rabi,Alluvial soil,Fruit
Bael,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Fruit
Bilberry,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Fruit
Cloudberry,Potassium-based fertilizer,365,Kharif,Alluvial soil,Fruit
Cranberry,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Fruit
Crowberry,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Fruit
Gooseberry,Potassium-based fertilizer,365,Rabi,Alluvial soil,Fruit
Loganberry,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Fruit
Marionberry,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Fruit
Tayberry,Potassium-based fertilizer,365,Kharif,Alluvial soil,Fruit
Boysenberry,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Fruit
Huckleberry,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Fruit
Salmonberry,Potassium-based fertilizer,365,Rabi,Alluvial soil,Fruit
Elderberry,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Fruit
Acai,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Fruit
Goji berry,Potassium-based fertilizer,365,Kharif,Alluvial soil,Fruit
Sea buckthorn,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Fruit
Buffaloberry,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Fruit
Cranberry,Potassium-based fertilizer,365,Rabi,Alluvial soil,Fruit
Rosehip,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Fruit
Schisandra berry,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Fruit
Currant,Potassium-based fertilizer,365,Kharif,Alluvial soil,Fruit
Barberry,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Fruit
Juneberry,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Fruit
Hackberry,Potassium-based fertilizer,365,Rabi,Alluvial soil,Fruit
Serviceberry,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Fruit
Pawpaw,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Fruit
Medlar,Potassium-based fertilizer,365,Kharif,Alluvial soil,Fruit
Saskatoon berry,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Fruit
Rowan berry,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Fruit
Kei apple,Potassium-based fertilizer,365,Rabi,Alluvial soil,Fruit
Chokeberry,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Fruit
Bayberry,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Fruit
Cupuacu,Potassium-based fertilizer,365,Kharif,Alluvial soil,Fruit
Kiwano,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Fruit
Ice cream bean,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Fruit
Monkey fruit,Potassium-based fertilizer,365,Rabi,Alluvial soil,Fruit
Nance,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Fruit
Salmonberry,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Fruit
Sapodilla,Potassium-based fertilizer,365,Kharif,Alluvial soil,Fruit
Soursop,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Fruit
Sugar apple,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Fruit
Surinam cherry,Potassium-based fertilizer,365,Rabi,Alluvial soil,Fruit
Yangmei,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Fruit
Wax apple,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Fruit
White sapote,Potassium-based fertilizer,365,Kharif,Alluvial soil,Fruit
Chayote,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Fruit
Carambola,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Fruit
Canistel,Potassium-based fertilizer,365,Rabi,Alluvial soil,Fruit
Carissa,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Fruit
Che,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Fruit
Cupuaçu,Potassium-based fertilizer,365,Kharif,Alluvial soil,Fruit
Gandaria,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Fruit
Genip,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Fruit
Hog plum,Potassium-based fertilizer,365,Rabi,Alluvial soil,Fruit
Huito,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Fruit
Jabuticaba,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Fruit
Jambul,Potassium-based fertilizer,365,Kharif,Alluvial soil,Fruit
Jatobá,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Fruit
Langsat,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Fruit
Loquat,Potassium-based fertilizer,365,Rabi,Alluvial soil,Fruit
Mabolo,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Fruit
Mamey sapote,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Fruit
Mamoncillo,Potassium-based fertilizer,365,Kharif,Alluvial soil,Fruit
Mangaba,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Fruit
